大类,子类,文件路径,代码片段,硬编码内容,使用场景,潜在问题,优化建议,意见
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L479,"`app_handle.emit(""app:on-before-quit"", ())`","`""app:on-before-quit""`",应用退出前事件名,同上,同上,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L236,"`app_handle.emit(""widget:closed"", &label_clone)`","`""widget:closed""`",Widget 关闭事件名,同上,同上,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L406,"`app.get_webview_window(""main"").expect(""no main window"")`","`""main""`",主窗口标识名,窗口标签名需与 tauri.conf.json 同步,从配置读取或定义常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L17,"`const IGNORE_RTMIDI_REGEX: &str = ""RtMidi"";`","`""RtMidi""`",过滤 RtMidi 虚拟端口,正则字符串,已为常量，可考虑配置化,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L18,"`const IGNORE_INPUT_REGEX: &str = ""^output-internal"";`","`""^output-internal""`",过滤内部输出端口,正则字符串,已为常量，可考虑配置化,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L19-20,`const DEDUP_INTERVAL_MS: u128 = 5; const DEDUP_CACHE_SIZE: usize = 32;`,"`5, 32`",MIDI 消息去重参数,值可能需根据设备调优,提取为可配置参数,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L26-30,"`const MODULE_OUTPUTS: &[&str; 3] = &[""chord-dictionary"", ""chord-display/default"", ""debugger""];`","`""chord-dictionary"", ""chord-display/default"", ""debugger""`",内部模块输出名称,新增模块需手动修改,提取为配置或动态注册,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L102,"`MidiInput::new(""midi-jar-input"")`","`""midi-jar-input""`",MIDI 输入客户端名称,多处重复,提取为常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L103,"`MidiOutput::new(""midi-jar-output"")`","`""midi-jar-output""`",MIDI 输出客户端名称,多处重复,提取为常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L157,"`name.contains(""Loopback"")`","`""Loopback""`",检测 Loopback 设备,仅匹配英文字符串,可能需要大小写不敏感匹配,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L283,"`route.route_type == ""internal""`","`""internal""`",判断路由类型,字符串比较,提取为枚举常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L292,"`MidiOutput::new(""midi-jar-output"")`","`""midi-jar-output""`",重复创建输出客户端,与 L103 重复,提取为统一常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L300,"`midi_out.connect(&port_ref, ""midi-jar-output"")`","`""midi-jar-output""`",连接名称,多处重复,提取为常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L321,"`MidiInput::new(""midi-jar-route"")`","`""midi-jar-route""`",路由连接名,与其他名称不一致,统一命名策略,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L378,"`""midi-jar-route""`","`""midi-jar-route""`",连接名,与 L321 重复,提取为常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L356,"`MidiInput::new(""midi-jar-debug"")`","`""midi-jar-debug""`",调试连接名,临时创建,统一命名策略,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L398,"`format!(""midi:message:{}"", module_name)`","`""midi:message:""`",内部 MIDI 消息事件前缀,事件命名模式,提取为事件名模板常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L408,"`""midi:activity""`","`""midi:activity""`",MIDI 活动事件名,事件名,提取为常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L464-470,"`name: ""internal"".to_string(), output_type: ""internal"".to_string()`","`""internal""`",API 输出类型标识,重复字符串,提取为常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L531,"`MidiInput::new(""midi-jar-virtual-input"")`","`""midi-jar-virtual-input""`",虚拟输入客户端名,多处使用,提取为常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L595,"`MidiOutput::new(""midi-jar-virtual-output"")`","`""midi-jar-virtual-output""`",虚拟输出客户端名,多处使用,提取为常量,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L585,"`""Virtual ports are not supported on Windows""`",错误消息,Windows 不支持虚拟端口,未国际化,通过 i18n 处理,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L528,"`format!(""Virtual input '{}' already exists"", name)`",错误消息模板,虚拟端口已存在,未国际化,同上,
一、Rust 后端 (src-tauri),2. MIDI 设备管理,`src-tauri/src/midi/device_manager.rs` L380,`(stamp as f64) * 1000.0`,`1000.0`,时间戳秒→毫秒转换系数,转换系数,提取为常量 (MS_PER_S),
一、Rust 后端 (src-tauri),3. 日志系统,`src-tauri/src/tauri_log_sink.rs` L65-70,"ANSI 颜色代码 `""\x1b[31m""`, `""\x1b[33m""` 等",ANSI 颜色转义序列,控制台日志着色,平台兼容性问题(Windows),检测终端支持后再应用,
一、Rust 后端 (src-tauri),3. 日志系统,`src-tauri/src/tauri_log_sink.rs` L74,"`record.module_path().unwrap_or(""unknown"")`","`""unknown""`",日志默认模块名,魔法字符串,提取为常量,
一、Rust 后端 (src-tauri),3. 日志系统,`src-tauri/src/tauri_log_sink.rs` L102,"`app_handle.emit(""rust:log"", log_data.to_string())`","`""rust:log""`",Rust→前端日志事件名,事件名,提取为统一常量,
一、Rust 后端 (src-tauri),3. 日志系统,`src-tauri/src/tauri_log_sink.rs` L28-31,`LevelFilter::Debug` / `LevelFilter::Warn`,日志级别阈值,开发/生产环境日志级别,无运行时调整能力,从配置文件读取,
一、Rust 后端 (src-tauri),4. 配置文件,`src-tauri/tauri.conf.json` L3,"`""productName"": ""MIDI-JAR""`","`""MIDI-JAR""`",应用产品名,与 Cargo.toml 重复；改名需改多处,单一来源管理,
一、Rust 后端 (src-tauri),4. 配置文件,`src-tauri/tauri.conf.json` L4,"`""version"": ""2.0.0""`","`""2.0.0""`",应用版本,与 Cargo.toml 重复,从 Cargo.toml 自动同步,
一、Rust 后端 (src-tauri),4. 配置文件,`src-tauri/tauri.conf.json` L5,"`""identifier"": ""com.midi-jar.app""`","`""com.midi-jar.app""`",应用标识符,Apple 要求唯一 ID,提取为常量,
一、Rust 后端 (src-tauri),4. 配置文件,`src-tauri/tauri.conf.json` L8,"`""devUrl"": ""http://localhost:5173""`","`""http://localhost:5173""`",开发服务器 URL,端口与 vite.config.ts 重复,统一管理,
一、Rust 后端 (src-tauri),4. 配置文件,`src-tauri/tauri.conf.json` L16,"`""title"": ""MIDI-JAR""`","`""MIDI-JAR""`",窗口标题,未国际化,使用 i18n,
一、Rust 后端 (src-tauri),4. 配置文件,`src-tauri/tauri.conf.json` L17-18,"`""width"": 1200, ""height"": 800`","`1200, 800`",窗口初始尺寸,与 lib.rs DEFAULT_WIDTH/HEIGHT 重复,统一来源,
一、Rust 后端 (src-tauri),4. 配置文件,`src-tauri/tauri.conf.json` L19-20,"`""minWidth"": 800, ""minHeight"": 600`","`800, 600`",窗口最小尺寸,未参数化,提取为配置常量,
一、Rust 后端 (src-tauri),4. 配置文件,`src-tauri/tauri.conf.json` L26,CSP 规则字符串,复杂 CSP 字符串,安全策略,长字符串难以维护,提取为结构化配置,
一、Rust 后端 (src-tauri),4. 配置文件,`src-tauri/Cargo.toml` L3,"`version = ""2.0.0""`","`""2.0.0""`",Rust 包版本,与 tauri.conf.json 重复,单一来源,
一、Rust 后端 (src-tauri),4. 配置文件,`src-tauri/Cargo.toml` L4,"`description = ""MIDI-JAR - A MIDI tool application""`",描述字符串,包描述,仅在 Cargo.toml 中使用,低风险，保留,
二、前端 TypeScript/Vue,1. 应用配置与存储键,`src/stores/settings.ts` L12,"`const STORAGE_KEY = ""midi-jar-settings""`","`""midi-jar-settings""`",localStorage 键名,键名变更需同步多处,统一管理 localStorage 键名常量,
二、前端 TypeScript/Vue,1. 应用配置与存储键,`src/stores/theme.ts` L8,"`const THEME_STORAGE_KEY = ""midi-jar-theme""`","`""midi-jar-theme""`",主题 localStorage 键名,同上,同上,
二、前端 TypeScript/Vue,1. 应用配置与存储键,`src/stores/midiRouting.ts` L37-39,"`""midi-jar-routes"", ""midi-jar-node-positions"", ""midi-jar-viewport""`",3 个 localStorage 键名,MIDI 路由/位置/视口持久化,同上,统一管理,
二、前端 TypeScript/Vue,1. 应用配置与存储键,`src/views/WaterfallPiano/constants.ts` L140,"`STORAGE_KEY = ""waterfall-piano-settings""`",localStorage 键名,瀑布钢琴设置,同上,同上,
二、前端 TypeScript/Vue,1. 应用配置与存储键,`src/views/WaterfallPiano/constants.ts` L142,"`RECORDING_STORAGE_KEY = ""waterfall-piano-recordings""`",localStorage 键名,录音数据,同上,同上,
二、前端 TypeScript/Vue,1. 应用配置与存储键,`src/views/WaterfallPiano/constants.ts` L141,`SETTINGS_VERSION = 5`,`5`,设置版本号,版本变更需手动更新,自动管理或使用时间戳,
二、前端 TypeScript/Vue,1. 应用配置与存储键,`src/views/WaterfallPiano/constants.ts` L145,"`MIDI_NAMESPACE = ""waterfall-piano/default""`","`""waterfall-piano/default""`",MIDI 消息命名空间,与后端 MODULE_OUTPUTS 不一致时路由失败,与后端协调统一,
二、前端 TypeScript/Vue,1. 应用配置与存储键,`src/stores/settings.ts` L109,"`debounce(saveSettings, 300)`",`300`,设置保存防抖时间,防抖时间不可调,提取为可配置常量,
二、前端 TypeScript/Vue,1. 应用配置与存储键,`src/stores/midiRouting.ts` L201,`startPolling(intervalMs: number = 3000)`,`3000`,MIDI 设备轮询间隔,默认值硬编码,提取为常量,
二、前端 TypeScript/Vue,1. 应用配置与存储键,`src/stores/theme.ts` L66,"`const defaultTheme = ""light""`","`""light""`",默认主题名,主题名,提取为常量,
二、前端 TypeScript/Vue,2. 窗口与 UI 尺寸参数,`src/components/PianoKeyboard/classic/constants.ts` L3-5,"`BASE_SIZE=24, LABEL_SIZE=20, INFO_SIZE=12`","`24, 20, 12`",钢琴键盘基础尺寸,尺寸调整需改源码,已为常量，可配置化,
二、前端 TypeScript/Vue,2. 窗口与 UI 尺寸参数,`src/components/PianoKeyboard/classic/constants.ts` L43,`LABEL_OFFSET: 4`,`4`,标签偏移,同上,同上,
二、前端 TypeScript/Vue,2. 窗口与 UI 尺寸参数,`src/components/PianoKeyboard/classic/constants.ts` L52,`TONIC_RADIUS: 4`,`4`,根音圆半径,同上,同上,
二、前端 TypeScript/Vue,2. 窗口与 UI 尺寸参数,`src/views/Settings/Routing/graphUtils.ts` L15,`verticalGap = 80`,`80`,路由图节点间距,布局调整,提取为常量,
二、前端 TypeScript/Vue,2. 窗口与 UI 尺寸参数,`src/views/Settings/Routing/graphUtils.ts` L16-17,"`inputX = 500, outputX = 50`","`500, 50`",节点默认 X 坐标,初始位置,提取为常量,
二、前端 TypeScript/Vue,2. 窗口与 UI 尺寸参数,`src/views/Settings/Routing/graphUtils.ts` L25,`y: index * verticalGap + 40`,`40`,节点 Y 轴起始偏移,同上,同上,
二、前端 TypeScript/Vue,2. 窗口与 UI 尺寸参数,`src/views/Settings/Routing/graphUtils.ts` L103,`strokeWidth: connected ? 4 : 2.5`,"`4, 2.5`",连线粗细,视觉参数,提取为常量,
二、前端 TypeScript/Vue,2. 窗口与 UI 尺寸参数,`src/views/WaterfallPiano/constants.ts` L155,`NARROW_BREAKPOINT = 768`,`768`,窄屏断点,与 Tailwind 默认断点可能不同,确保与 Tailwind 一致,
二、前端 TypeScript/Vue,2. 窗口与 UI 尺寸参数,`src/composables/useMidiActivity.ts` L23,"`setTimeout(() => { ... }, 300)`",`300`,MIDI 活动闪烁持续时间,不可配置,提取为常量,
二、前端 TypeScript/Vue,2. 窗口与 UI 尺寸参数,`src/debugger-logger.ts` L28,`private maxLogs = 1000`,`1000`,最大日志数量,内存限制不可调,提取为可配置常量,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/composables/useMidiHandler.ts` L8-12,"`MIDI_CMD_NOTE_OFF=0x80, MIDI_CMD_NOTE_ON=0x90, MIDI_CHANNEL_ALL=0, MIDI_CMD_CC=0xb0, MIDI_CC_SUSTAIN=0x40`",MIDI 协议十六进制值,MIDI 消息解析,协议值不会变，硬编码合理,已为常量，保持现状,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/views/Settings/Debugger/constants.ts` L1-28,"`MIDI_CMD`, `MIDI_CC` 映射表",MIDI 命令/CC 完整映射,调试器显示,数据量大，适合独立数据文件,提取为 JSON 数据文件,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/utils/tauri.ts` L106,"`""window:on-state-changed""`",Tauri 事件名,窗口状态变化监听,与 Rust 端事件名需一致,统一事件名常量模块,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/utils/tauri.ts` L112,"`""window:on-maximized-changed""`",Tauri 事件名,窗口最大化变化,同上,同上,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/utils/tauri.ts` L158,"`""midi:inputs""`",Tauri 事件名,MIDI 输入设备更新,同上,同上,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/utils/tauri.ts` L166,"`""midi:outputs""`",Tauri 事件名,MIDI 输出设备更新,同上,同上,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/utils/tauri.ts` L174,"`""midi:wires""`",Tauri 事件名,MIDI 连线更新,同上,同上,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/utils/tauri.ts` L179,"`""midi:activity""`",Tauri 事件名,MIDI 活动检测,同上,同上,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/utils/tauri.ts` L188,`` `midi:message:${namespace}` ``,事件名模板,MIDI 消息监听,与 Rust 端格式需一致,统一模板,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/composables/useDebuggerLogs.ts` L33,"`""rust:log""`",Tauri 事件名,Rust 日志监听,与 Rust 端一致,统一常量,
二、前端 TypeScript/Vue,3. MIDI 协议常量与事件名,`src/composables/useMidiMessages.ts` L16,"`namespace: string = ""debugger""`","`""debugger""`",默认 MIDI 消息命名空间,默认值,提取为常量,
二、前端 TypeScript/Vue,4. 颜色值,`src/views/WaterfallPiano/constants.ts` L7,"`customColors: { low: ""#6366f1"", mid: ""#14b8a6"", high: ""#f59e0b"" }`",hex 颜色值,音高颜色映射,颜色不可动态配置,使用 CSS 变量或设置项,
二、前端 TypeScript/Vue,4. 颜色值,`src/views/WaterfallPiano/constants.ts` L15,"`color: ""#ffffff""`",`#ffffff`,命中线颜色,同上,同上,
二、前端 TypeScript/Vue,4. 颜色值,`src/views/WaterfallPiano/constants.ts` L21,"`solidColor: ""#1a1a2e""`",`#1a1a2e`,瀑布背景色,同上,同上,
二、前端 TypeScript/Vue,4. 颜色值,`src/views/WaterfallPiano/constants.ts` L38,"`whiteKeyColor: ""#f0f0f0""`",`#f0f0f0`,白键颜色,同上,同上,
二、前端 TypeScript/Vue,4. 颜色值,`src/views/WaterfallPiano/constants.ts` L39,"`blackKeyColor: ""#1a1a1a""`",`#1a1a1a`,黑键颜色,同上,同上,
二、前端 TypeScript/Vue,4. 颜色值,`src/views/WaterfallPiano/constants.ts` L40,"`pressedKeyColor: ""#6366f1""`",`#6366f1`,按下键颜色,同上,同上,
二、前端 TypeScript/Vue,4. 颜色值,`src/views/WaterfallPiano/constants.ts` L44,"`keyBorderColor: ""#333333""`",`#333333`,键边框颜色,同上,同上,
二、前端 TypeScript/Vue,4. 颜色值,`src/views/WaterfallPiano/constants.ts` L47,"`separatorColor: ""#ffffff""`",`#ffffff`,分隔线颜色,同上,同上,
二、前端 TypeScript/Vue,4. 颜色值,`src/views/WaterfallPiano/constants.ts` L56-65,8 种轨道颜色 hex 值,"`""#6366f1""...""#22c55e""`",MIDI 轨道颜色,同上,使用主题变量,
二、前端 TypeScript/Vue,4. 颜色值,`src/helpers/color.ts` L14,"`colorHexToRGB(""000000"")`","`""000000""`",默认黑色,魔法值,提取为 DEFAULT_COLOR 常量,
二、前端 TypeScript/Vue,4. 颜色值,`src/helpers/color.ts` L77,"`getLuminance(""808080"")`","`""808080""`",亮度阈值中灰色,魔法值,提取为 LUMINANCE_THRESHOLD 常量,
二、前端 TypeScript/Vue,4. 颜色值,`src/helpers/color.ts` L74-75,"`darkColor = ""#000000"", lightColor = ""#ffffff""`","`#000000, #ffffff`",默认对比色,魔法值,提取为常量,
二、前端 TypeScript/Vue,4. 颜色值,`src/engine/fluid/FluidConfig.ts` L147,"`BACK_COLOR: { r: 0, g: 0, b: 0 }`","`{0, 0, 0}`",流体背景色,纯黑可能不适合所有主题,使用主题背景色,
二、前端 TypeScript/Vue,4. 颜色值,`src/styles/tailwind.css` L51-52,`blur(12px) saturate(180%)`,"`12px, 180%`",毛玻璃效果参数,不随主题变化,提取为 CSS 变量,
二、前端 TypeScript/Vue,4. 颜色值,`src/styles/tailwind.css` L53-54,"`oklch(100% 0 0 / 0.7), oklch(100% 0 0 / 0.2)`",oklch 颜色值,毛玻璃背景/边框,同上,同上,
二、前端 TypeScript/Vue,4. 颜色值,`src/styles/tailwind.css` L21-27,7 个 oklch 音符颜色,oklch 颜色值,音名颜色映射,同上,已为 CSS 变量，保持现状,
二、前端 TypeScript/Vue,5. 路由与导航,`src/router/index.ts` L10,"`redirect: ""/home""`","`""/home""`",默认路由重定向,路径硬编码,合理，保持现状,
二、前端 TypeScript/Vue,5. 路由与导航,`src/router/index.ts` L16,"`meta: { title: ""nav.chordDisplay"", icon: ""home"" }`",i18n key + 图标名,路由元信息,i18n key 散布,提取为路由配置数据,
二、前端 TypeScript/Vue,5. 路由与导航,`src/views/Settings/Layout/constants.ts` L23-78,全部导航项配置,路由路径、i18n key、图标名,设置页导航,配置数据硬编码在 TS 中,提取为 JSON 配置文件,
二、前端 TypeScript/Vue,5. 路由与导航,`src/views/Settings/Layout/constants.ts` L17-21,`groupLabels`,i18n key,设置分组标签,同上,同上,
二、前端 TypeScript/Vue,5. 路由与导航,`src/views/Settings/Layout/constants.ts` L80,"`groupOrder: [""general"", ""display"", ""advanced""]`",分组顺序,设置页分组排序,同上,同上,
二、前端 TypeScript/Vue,5. 路由与导航,`src/views/Settings/Routing/graphUtils.ts` L44,"`displayName: ""Internal Modules""`","`""Internal Modules""`",内部模块显示名,未国际化,使用 i18n,
二、前端 TypeScript/Vue,6. 流体模拟配置,`src/engine/fluid/FluidConfig.ts` L132-158,`DEFAULT_CONFIG` 全量默认值,20+ 个物理/渲染参数,流体模拟默认配置,参数多且专业，调整需懂物理,已为常量配置对象，可考虑用户配置化,
二、前端 TypeScript/Vue,6. 流体模拟配置,`src/engine/fluid/FluidConfig.ts` L75-99,`QUALITY_PRESETS` (low/medium/high),分辨率、Bloom/Sunrays 参数,GPU 质量预设,同上,保持现状，已良好组织,
二、前端 TypeScript/Vue,6. 流体模拟配置,`src/engine/fluid/FluidConfig.ts` L111-129,`STYLE_PRESETS` (gentle/standard/turbulent),物理参数组合,视觉风格预设,同上,保持现状,
二、前端 TypeScript/Vue,6. 流体模拟配置,`src/engine/fluid/shaders/display.ts` L39,"`clamp(dot(n, l) + 0.7, 0.7, 1.0)`","`0.7, 0.7, 1.0`",着色器光照漫反射系数,Shader 内数学常数,提取为 shader uniform 或常量,
二、前端 TypeScript/Vue,6. 流体模拟配置,`src/engine/fluid/shaders/display.ts` L21,"`1.055, 0.416666667, 0.055`",gamma 转换系数,linearToGamma 函数,标准 sRGB 转换公式,保持现状（标准数学常数）,
二、前端 TypeScript/Vue,6. 流体模拟配置,`src/engine/fluid/shaders/display.ts` L57,`noise * 2.0 - 1.0`,"`2.0, 1.0`",dithering 噪声范围映射,Shader 内常量,低风险，保持,
二、前端 TypeScript/Vue,7. 国际化相关,`src/locales/i18n.ts` L13,"`fallbackLocale: ""en""`","`""en""`",i18n 备用语言,合理默认,保持现状,
二、前端 TypeScript/Vue,7. 国际化相关,`src/stores/settings.ts` L27,"`merged.general?.language === (""zh-CN"" as unknown)`","`""zh-CN""`",旧语言值迁移,迁移逻辑硬编码,版本迁移完成后可移除,
二、前端 TypeScript/Vue,7. 国际化相关,`index.html` L2,"`<html lang=""zh-CN"">`","`""zh-CN""`",HTML 语言属性,应与 i18n locale 同步,动态设置,
二、前端 TypeScript/Vue,7. 国际化相关,`index.html` L6,`<title>MIDI-JAR</title>`,"`""MIDI-JAR""`",页面标题,未国际化,使用 i18n 或从配置读取,
二、前端 TypeScript/Vue,7. 国际化相关,`src/main.ts` L22,"`logger.info(""应用初始化开始..."")`",中文字符串,日志消息,日志中混用中文,统一日志语言或使用 i18n,
二、前端 TypeScript/Vue,7. 国际化相关,`src/main.ts` L48,"`""file:opened""`",事件名,Tauri 事件,与 Rust 端需一致,统一常量管理,
二、前端 TypeScript/Vue,7. 国际化相关,`src/stores/midiRouting.ts` L109,"`output: ""internal""`","`""internal""`",默认路由输出,与 Rust 端类型标识一致,统一常量,
二、前端 TypeScript/Vue,8. 数据常量与映射,`src/helpers/note.ts` L10-23,"`NOTE_NAMES = [""C"",""C#"",...""B""]`",12 个音名,音名映射,音乐理论固定值,保持现状,
二、前端 TypeScript/Vue,8. 数据常量与映射,`src/helpers/note.ts` L28-29,"`FLAT = ""♭"", SHARP = ""♯""`",音符符号,显示格式化,Unicode 字符,保持现状,
二、前端 TypeScript/Vue,8. 数据常量与映射,`src/helpers/chords-data.ts` L1-562,562 行和弦数据,全量和弦音程/名称/别名,和弦字典数据,大量数据硬编码在 TS 中,提取为 JSON 数据文件,
二、前端 TypeScript/Vue,8. 数据常量与映射,`src/constants/icon-paths.ts` L1-16,8 个 SVG path 字符串,SVG 路径数据,图标渲染,长字符串,提取为独立 SVG 文件或 JSON,
二、前端 TypeScript/Vue,8. 数据常量与映射,`src/views/WaterfallPiano/constants.ts` L161-174,`NOTE_NAMES`,12 个音名,音名→MIDI 转换,与 `src/helpers/note.ts` 重复,统一为单一来源,
二、前端 TypeScript/Vue,8. 数据常量与映射,`src/views/WaterfallPiano/constants.ts` L123-137,`keyboardMap`,键盘按键→MIDI 音符映射,电脑键盘弹奏,映射表,提取为配置文件,
二、前端 TypeScript/Vue,8. 数据常量与映射,`src/views/WaterfallPiano/constants.ts` L148-152,`KEYBOARD_RANGES`,"`""88"": {21,108}, ""61"": {36,96}, ""49"": {36,84}`",键盘范围定义,MIDI 音符范围,保持现状（标准定义）,
二、前端 TypeScript/Vue,8. 数据常量与映射,`src/stores/theme.ts` L15-51,35 个主题配置,主题名+色系,主题列表,DaisyUI 主题名,保持现状（与 DaisyUI 同步）,
二、前端 TypeScript/Vue,9. Vite 构建配置,`vite.config.ts` L21,`port: 5173`,`5173`,开发服务器端口,与 tauri.conf.json devUrl 重复,统一管理,
二、前端 TypeScript/Vue,9. Vite 构建配置,`vite.config.ts` L32,`chunkSizeWarningLimit: 1000`,`1000`,构建警告阈值,构建参数,低风险,
二、前端 TypeScript/Vue,9. Vite 构建配置,`vite.config.ts` L38-44,manualChunks 正则,包名匹配规则,代码分割,硬编码包名,低风险，构建配置,
二、前端 TypeScript/Vue,9. Vite 构建配置,`vite.config.ts` L59,"`inline: [""tone""]`","`""tone""`",测试依赖内联,Vitest 配置,低风险,
二、前端 TypeScript/Vue,10. 音频/合成器参数,`src/views/WaterfallPiano/constants.ts` L70-89,合成器参数,"`volume=0.8, reverbAmount=0.3, harmonicity=2, modulationIndex=10, oscillatorType=""triangle"", attack=0.002...`",音频合成器默认配置,音频参数专业性强,已为默认设置对象，可通过 UI 调整,
二、前端 TypeScript/Vue,10. 音频/合成器参数,`src/views/WaterfallPiano/constants.ts` L91-119,Aura 参数,"`padding=2, innerBlur=4, innerOpacity=70...`",光晕效果配置,视觉参数,同上,
三、CSS 样式硬编码,,`src/styles/hig-tokens.css` L21-31,字号阶梯,`11px-64px` 共 11 级,HIG 字号 Token,设计规范值，应保持一致,已为 CSS 变量，良好实践,
三、CSS 样式硬编码,,`src/styles/hig-tokens.css` L34-37,圆角层级,`6px-20px` 共 4 级,HIG 圆角 Token,同上,同上,
三、CSS 样式硬编码,,`src/styles/hig-tokens.css` L40-47,间距尺度,`4px-64px` 共 8 级,HIG 间距 Token,同上,同上,
